song_name,track_href,analysis_url,energy,liveness,tempo,speechiness,uri,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,type,id,mode
Love Can Save It All,https://api.spotify.com/v1/tracks/6Bsgut28PjhuhlqIHmpIED,https://api.spotify.com/v1/audio-analysis/6Bsgut28PjhuhlqIHmpIED,0.827,0.127,140.003,0.0395,spotify:track:6Bsgut28PjhuhlqIHmpIED,0.296,0,4,0.524,4,240000,-3.816,0.219,audio_features,6Bsgut28PjhuhlqIHmpIED,1
The Greatest,https://api.spotify.com/v1/tracks/3XIIOCu6B8PuGq5j61asEM,https://api.spotify.com/v1/audio-analysis/3XIIOCu6B8PuGq5j61asEM,0.723,0.0507,192.024,0.268,spotify:track:3XIIOCu6B8PuGq5j61asEM,0.0109,0.00047,4,0.666,1,210893,-6.164,0.731,audio_features,3XIIOCu6B8PuGq5j61asEM,1
My Way,https://api.spotify.com/v1/tracks/1vvNmPOiUuyCbgWmtc6yfm,https://api.spotify.com/v1/audio-analysis/1vvNmPOiUuyCbgWmtc6yfm,0.913,0.161,119.989,0.0427,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,0.0935,3.72E-05,4,0.819,4,219160,-3.059,0.523,audio_features,1vvNmPOiUuyCbgWmtc6yfm,0
Perfect Illusion,https://api.spotify.com/v1/tracks/4lkDky0afnOb8QZZsbeS2Y,https://api.spotify.com/v1/audio-analysis/4lkDky0afnOb8QZZsbeS2Y,0.85,0.357,124.999,0.0369,spotify:track:4lkDky0afnOb8QZZsbeS2Y,0.00129,0,4,0.614,1,181507,-5.498,0.729,audio_features,4lkDky0afnOb8QZZsbeS2Y,0
Into You,https://api.spotify.com/v1/tracks/7yHEDfrJNd0zWOfXwydNH0,https://api.spotify.com/v1/audio-analysis/7yHEDfrJNd0zWOfXwydNH0,0.727,0.151,107.988,0.106,spotify:track:7yHEDfrJNd0zWOfXwydNH0,0.0161,1.12E-06,4,0.636,9,244453,-5.852,0.364,audio_features,7yHEDfrJNd0zWOfXwydNH0,1
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",https://api.spotify.com/v1/tracks/73x2wv9xTKFOVwfKmtWNxg,https://api.spotify.com/v1/audio-analysis/73x2wv9xTKFOVwfKmtWNxg,0.774,0.134,113.012,0.0692,spotify:track:73x2wv9xTKFOVwfKmtWNxg,0.012,0,4,0.672,0,236840,-7.642,0.7,audio_features,73x2wv9xTKFOVwfKmtWNxg,1
Gold,https://api.spotify.com/v1/tracks/6WhzFzROw3aq3rPWjgYlxr,https://api.spotify.com/v1/audio-analysis/6WhzFzROw3aq3rPWjgYlxr,0.412,0.134,113.049,0.344,spotify:track:6WhzFzROw3aq3rPWjgYlxr,0.615,0.0025,5,0.6,8,225882,-9.343,0.409,audio_features,6WhzFzROw3aq3rPWjgYlxr,1
LUV,https://api.spotify.com/v1/tracks/5eG6cZTO4G5hFcnjyGR1ao,https://api.spotify.com/v1/audio-analysis/5eG6cZTO4G5hFcnjyGR1ao,0.541,0.123,95.109,0.114,spotify:track:5eG6cZTO4G5hFcnjyGR1ao,0.0118,0,4,0.688,11,228640,-8.128,0.24,audio_features,5eG6cZTO4G5hFcnjyGR1ao,0
Panda,https://api.spotify.com/v1/tracks/46THN9jjPWhSqFUu6YsBhv,https://api.spotify.com/v1/audio-analysis/46THN9jjPWhSqFUu6YsBhv,0.734,0.369,145.028,0.444,spotify:track:46THN9jjPWhSqFUu6YsBhv,0.0241,1.65E-06,4,0.679,10,247867,-5.542,0.256,audio_features,46THN9jjPWhSqFUu6YsBhv,0
Hymn For The Weekend,https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy,https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy,0.743,0.3,89.974,0.0409,spotify:track:3RiPr603aXAoi4GHyXx0uy,0.255,7.21E-06,4,0.49,0,258827,-5.155,0.376,audio_features,3RiPr603aXAoi4GHyXx0uy,0
